,trade_date,open,high,low,close,volume,Z_close,Z_open,Z_high,Z_low,signal,reward
1052,2022-08-02,3231.262,3231.262,3155.187,3186.266,39417616800,-1.2315267882980725,-0.9890798400204466,-0.9890798400204466,-1.398986311489475,2.0,1.9196765116283432
1053,2022-08-03,3188.891,3217.55,3159.457,3163.674,32488567300,-1.3415868552629424,-1.2060857917119951,-1.0520894804812144,-1.3642464890415185,2.0,2.0971187296794813
1054,2022-08-04,3179.428,3190.999,3155.704,3189.039,26089894300,-1.195436865734969,-1.2469992391974325,-1.184921596565642,-1.3742769156123134,2.0,2.904511359064599
1055,2022-08-05,3195.227,3228.886,3184.455,3227.027,27468372900,-0.9838276274177196,-1.1543625325504383,-0.9738583070201816,-1.21212989098093,2.0,1.5451063780997254
1056,2022-08-08,3218.851,3237.969,3214.083,3236.934,25426805000,-0.9234913026866642,-1.0204092397872098,-0.9179441000710004,-1.0459638891316438,2.0,1.2095705380461785
1057,2022-08-09,3235.735,3248.772,3227.539,3247.432,25960546700,-0.8614334224771911,-0.9240439268816336,-0.8542608076270616,-0.967914636815704,2.0,0.93775635640716
1058,2022-08-10,3242.362,3253.166,3217.807,3230.02,25758359200,-0.9497460512230236,-0.8837995501933662,-0.826070981312762,-1.0150032718578643,2.0,1.9351582962334524
1059,2022-08-11,3243.472,3281.665,3237.904,3281.665,30060537600,-0.671574022489937,-0.8754897768664224,-0.671574022489937,-0.9052178139509228,2.0,-0.12557649851523411
1060,2022-08-12,3275.77,3288.223,3272.841,3276.888,29993292800,-0.6935546358955422,-0.6995179963452317,-0.633094268545601,-0.7151411472907969,2.0,-0.5740202289489238
1061,2022-08-15,3268.365,3286.891,3261.815,3276.087,28710677300,-0.6945927011664359,-0.7357419446148371,-0.637019996398692,-0.7706457965427067,2.0,0.052104843369549236
1062,2022-08-16,3278.676,3295.023,3271.57,3277.885,30359227400,-0.6805679981965105,-0.6763559975303208,-0.5893097587310429,-0.7141947797477087,2.0,-0.05070342614217349
1063,2022-08-17,3282.101,3295.998,3263.348,3292.526,32612475900,-0.5989516018236138,-0.6544295331340687,-0.5804749229257802,-0.7542259500036128,2.0,-2.348440073062441
1064,2022-08-18,3286.367,3289.142,3270.558,3277.544,30169477800,-0.6740491061843642,-0.6271252664871504,-0.6123668333963938,-0.7112031290932068,2.0,-0.9548613229906189
1065,2022-08-19,3275.623,3286.491,3258.064,3258.078,33353547100,-0.7724227700976345,-0.6792032077857774,-0.6214596795324144,-0.7724971544733755,2.0,-0.670794253544571
1066,2022-08-22,3249.705,3278.166,3247.187,3277.794,31453786900,-0.6633918458193137,-0.8125273155466295,-0.661416752553672,-0.8258963608231927,2.0,-1.130821522035852
1067,2022-08-23,3274.427,3284.596,3262.633,3276.223,31656635600,-0.6668551359347887,-0.6763868557145433,-0.6224180035762734,-0.7389798975199106,2.0,-1.495716256188917
1068,2022-08-24,3279.172,3281.875,3212.386,3215.203,36614057700,-0.9830764702266196,-0.6439239897004678,-0.6295931551577647,-0.9980117128854412,2.0,-0.4063507032059932
1069,2022-08-25,3223.465,3248.351,3199.124,3246.248,33619616500,-0.8121796553529025,-0.932930018101494,-0.8010337126385849,-1.0619378124948362,2.0,-1.8873481015621696
1070,2022-08-26,3250.628,3266.274,3232.277,3236.223,30992755400,-0.8587333439653783,-0.7824319589032693,-0.6995571605220324,-0.8796347855103329,2.0,-1.5371314028730376
1071,2022-08-29,3203.102,3240.728,3198.996,3240.728,29701509700,-0.8285866022440294,-1.0277682822817258,-0.8285866022440294,-1.0495043152970536,2.0,-1.2594700943738601
1072,2022-08-30,3240.184,3243.746,3212.635,3227.22,29431891400,-0.8932941027659871,-0.8247204168947221,-0.8058790508754817,-0.9704421441446004,2.0,0.5028166657370825
1073,2022-08-31,3216.526,3232.016,3184.394,3202.138,34440882900,-1.018853353508048,-0.9428945172483636,-0.8611178718728748,-1.1125295830459865,2.0,1.3789536865681518
1074,2022-09-01,3196.537,3214.558,3181.626,3184.98,27466054100,-1.100966038768632,-1.0400734454680511,-0.9451227295495772,-1.1186379049908473,2.0,1.5888953776789672
1075,2022-09-02,3189.644,3198.281,3173.793,3186.478,25045691100,-1.0849844893579297,-1.0683377534375664,-1.0229246586352316,-1.1516818504286257,2.0,2.3717722199870783
1076,2022-09-05,3183.946,3199.912,3172.039,3199.912,28067563300,-1.0076179498942657,-1.091401593327472,-1.0076179498942657,-1.1538851109498682,2.0,1.9964611526817055
1077,2022-09-06,3207.933,3244.635,3203.816,3243.447,31886968900,-0.7736781041885372,-0.9598936326361336,-0.7674488974589162,-0.9814808751494744,2.0,-0.18205939545181682
1078,2022-09-07,3232.137,3253.767,3227.823,3246.294,30101446600,-0.752946985747865,-0.8271563868807075,-0.7137743605683962,-0.8497698894933452,2.0,-1.4285520658326112
1079,2022-09-08,3245.557,3253.701,3233.801,3235.586,28168035800,-0.8027009565211268,-0.7504364413235063,-0.7077484248989315,-0.8120573058970917,2.0,-3.3745973681428842
1080,2022-09-09,3241.181,3266.197,3236.508,3262.054,28382766500,-0.658870540715246,-0.7682612158700327,-0.6371580141418601,-0.7927513526495249,2.0,-4.489563937322938
1081,2022-09-13,3272.049,3278.166,3259.664,3263.797,27618982300,-0.6444669747590513,-0.6012131182153524,-0.569150122520028,-0.6661305943779439,2.0,-4.332101536952204
1082,2022-09-14,3224.678,3250.802,3221.961,3237.542,25519336500,-0.7759589565587375,-0.8433800369160181,-0.7064624138397112,-0.8576200147868777,2.0,-3.717789607053734
1083,2022-09-15,3248.972,3254.179,3174.39,3199.919,32520612100,-0.9655168521140644,-0.7085523909455909,-0.6812754874064759,-1.0992506855018271,2.0,-2.844103241363294
1084,2022-09-16,3189.827,3191.827,3126.397,3126.398,31647589300,-1.3391360070349687,-1.0074472892000892,-0.996988706601124,-1.3391412363262691,2.0,-1.216351852835118
1085,2022-09-19,3122.755,3135.557,3101.221,3115.602,24911366200,-1.383772874258811,-1.3464171043560116,-1.279560042103026,-1.4588760934636382,2.0,-2.066245945406364
1086,2022-09-20,3127.836,3140.025,3114.037,3122.406,21994253400,-1.33688107625988,-1.30856245593854,-1.2449941938580922,-1.3805272150203414,2.0,-0.9141668316035689
1087,2022-09-21,3116.007,3129.825,3091.297,3117.177,23297249600,-1.353098096882553,-1.3591971549169397,-1.2871657156698073,-1.4880071754551265,2.0,-2.313311050351008
1088,2022-09-22,3098.768,3125.68,3092.819,3108.91,22114068900,-1.3859096866038096,-1.4388343599500444,-1.2983976798974035,-1.469878422436414,2.0,-2.1777729171960525
1089,2022-09-23,3106.806,3124.658,3072.241,3088.37,24305771900,-1.4817405629363474,-1.385482961736498,-1.292274527335343,-1.5659529110461516,2.0,-2.071610590699946
1090,2022-09-26,3067.569,3102.654,3048.514,3051.226,26269862800,-1.6625255472691145,-1.5771882090356562,-1.3939868070947083,-1.6766866475132027,2.0,-2.5262304398297686
1091,2022-09-27,3056.392,3094.039,3048.365,3093.862,23273530300,-1.4301209984084622,-1.6261666559584531,-1.4291949220437337,-1.6681644807023492,2.0,-3.6869453130100815
